ticker,nom,prix,variation_pct,devise,categorie,source,type_mouvement
TSLA,,390.82,2.48,USD,action,yahoo_finance,hausse
SAN.PA,,79.82,2.18,EUR,action_fr,yahoo+boursorama,hausse
AMZN,,268.26,1.59,USD,action,yahoo_finance,hausse
MSFT,,414.44,1.42,USD,action,yahoo_finance,hausse
^GDAXI,,24292.3809,1.41,EUR,indice,yahoo_finance,hausse
^FTSE,,10363.9004,-0.14,GBP,indice,yahoo_finance,baisse
AIR.PA,,174.88,-0.25,EUR,action_fr,yahoo+boursorama,baisse
^DJI,,49499.2695,-0.31,USD,indice,yahoo_finance,baisse
META,,608.75,-0.78,USD,action,yahoo_finance,baisse
NVDA,,198.45,-0.78,USD,action,yahoo_finance,baisse
